time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_direction_0 propeller_demanded_rpm_0
0.0 10820.65 5262.22 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.1 10820.25 5262.11 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.2 10819.86 5261.99 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.3 10819.46 5261.87 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.4 10819.07 5261.76 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.5 10818.67 5261.64 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.6 10818.28 5261.52 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.7 10817.88 5261.41 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.8 10817.49 5261.29 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
0.9 10817.09 5261.17 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.0 10816.7 5261.06 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.1 10816.3 5260.94 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.2 10815.91 5260.83 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.3 10815.51 5260.71 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.4 10815.12 5260.59 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.5 10814.72 5260.48 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.6 10814.33 5260.36 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.7 10813.93 5260.24 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.8 10813.54 5260.13 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
1.9 10813.14 5260.01 -160.0 4.11 -0.26 -0.0 0.0 0.0 2.56
2.0 10812.75 5259.9 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.1 10812.35 5259.78 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.2 10811.96 5259.66 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.3 10811.56 5259.55 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.4 10811.17 5259.43 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.5 10810.77 5259.32 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.6 10810.38 5259.2 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.7 10809.98 5259.08 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.8 10809.59 5258.97 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
2.9 10809.19 5258.85 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
3.0 10808.8 5258.74 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
3.1 10808.4 5258.62 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
3.2 10808.01 5258.5 -160.0 4.11 -0.26 -0.0 -0.0 0.0 0.0
3.3 10807.62 5258.39 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
3.4 10807.22 5258.27 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
3.5 10806.83 5258.16 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
3.6 10806.43 5258.04 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
3.7 10806.04 5257.93 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
3.8 10805.64 5257.81 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
3.9 10805.25 5257.69 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.0 10804.85 5257.58 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.1 10804.46 5257.46 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.2 10804.06 5257.35 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.3 10803.67 5257.23 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.4 10803.27 5257.12 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.5 10802.88 5257.0 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.6 10802.49 5256.88 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.7 10802.09 5256.77 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.8 10801.7 5256.65 -160.0 4.1 -0.26 -0.0 -0.0 0.0 0.0
4.9 10801.3 5256.54 -160.0 4.1 -0.27 -0.0 -0.0 0.0 0.0
5.0 10800.91 5256.42 -160.0 4.1 -0.27 -0.0 -0.0 0.0 0.0
5.1 10800.51 5256.31 -160.0 4.1 -0.27 -0.0 -0.0 0.0 0.0
5.2 10800.12 5256.19 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.3 10799.72 5256.08 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.4 10799.33 5255.96 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.5 10798.93 5255.85 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.6 10798.54 5255.73 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.7 10798.15 5255.62 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.8 10797.75 5255.5 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
5.9 10797.36 5255.39 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.0 10796.96 5255.27 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.1 10796.57 5255.16 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.2 10796.17 5255.04 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.3 10795.78 5254.93 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.4 10795.38 5254.81 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.5 10794.99 5254.7 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.6 10794.6 5254.58 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.7 10794.2 5254.47 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.8 10793.81 5254.35 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
6.9 10793.41 5254.24 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
7.0 10793.02 5254.12 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
7.1 10792.62 5254.01 -160.0 4.1 -0.27 0.0 -0.0 0.0 0.0
